Nome,URL,Stars,Framework,Descricao
douglaswenzel/desenvolvimento-web-3,https://github.com/douglaswenzel/desenvolvimento-web-3.git,2,Backend Detectado (express),"Dedicado á matéria de Técnicas de Programação 3 da Faculdade de Tecnologia de Votorantim"
CarlosNiz/atividade-faculdade-backend,https://github.com/CarlosNiz/atividade-faculdade-backend.git,1,Backend Detectado (express),"Backend para uma atividade de CRUD da faculdade"
vitormendes09/Backend-TestesAutomatizados,https://github.com/vitormendes09/Backend-TestesAutomatizados.git,1,Backend Detectado (express),"Trabalho de faculdade  matéria de testes automatizados "
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,3,Backend Detectado (express),"Repositório para o Tech Challenge da Faculdade FIAP"
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,2,Backend Detectado (express),"O backend do projeto de extensão da faculdade UNIESP."
PoisonRose/Persona4-projeto,https://github.com/PoisonRose/Persona4-projeto.git,1,Backend Detectado (express),"Um projeto de faculdade sobre Persona 4  é uma ferramenta básica de pesquisa de personas e seus detalhes (no jogo Persona 4 para Playstation 2)."
MiguelBaricelli/monitorar_consumo_de_agua,https://github.com/MiguelBaricelli/monitorar_consumo_de_agua.git,1,Backend Detectado (express),"Repositório do trabalho de faculdade para monitorar o consumo de água  promovendo a conscientização sobre a importância da sustentabilidade"
joaopabdala/site-traducao,https://github.com/joaopabdala/site-traducao.git,1,Backend Detectado (express),"Projeto feito para a matéria da faculdade de framework usando Angular "
CyberNicky/customers-api,https://github.com/CyberNicky/customers-api.git,1,Backend Detectado (express),"Projeto da faculdade - CRUD "
KayoGuilherme/API-CORTE-ENEM-NESTJS,https://github.com/KayoGuilherme/API-CORTE-ENEM-NESTJS.git,1,Backend Detectado (express),"Api em nestjs para visualização de nota de corte de cursos em variadas faculdades"
