Repo,URL,File,Line,Type,Description
"cetem99/nutrity-table","https://github.com/cetem99/nutrity-table.git","src/server.js",20,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"ElTapiaGit/RetoChat","https://github.com/ElTapiaGit/RetoChat.git","server.js",26,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"IgorVaaz/Sistema-de-Controle-de-Estoque-para-Equipamentos-Eletronicos","https://github.com/IgorVaaz/Sistema-de-Controle-de-Estoque-para-Equipamentos-Eletronicos.git","server.js",18,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"IgorVaaz/Sistema-de-Controle-de-Estoque-de-Ferramentas-e-Equipamentos-Manuais","https://github.com/IgorVaaz/Sistema-de-Controle-de-Estoque-de-Ferramentas-e-Equipamentos-Manuais.git","server.js",36,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"kkbarbosa/CinneVille","https://github.com/kkbarbosa/CinneVille.git","server.js",19,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"estevam5s/bruteforce","https://github.com/estevam5s/bruteforce.git","server/index.js",27,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"deborangueira/M2-Projeto_Pessoal","https://github.com/deborangueira/M2-Projeto_Pessoal.git","server.js",13,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"deborangueira/M2-Projeto_Pessoal","https://github.com/deborangueira/M2-Projeto_Pessoal.git","server.js",100,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"billybombom/Projeto-Desenvolvimento-em-Banco-de-Dados-1-semestre","https://github.com/billybombom/Projeto-Desenvolvimento-em-Banco-de-Dados-1-semestre.git","knexfile.js",12,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Lofhel/LOFHEL","https://github.com/Lofhel/LOFHEL.git","app.js",36,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Lofhel/LOFHEL","https://github.com/Lofhel/LOFHEL.git","dat-acqu-ino/main.js",27,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"R0bertS0uza/ifood-clone-backend","https://github.com/R0bertS0uza/ifood-clone-backend.git","src/server.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
