Repo,URL,File,Line,Type,Description
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/modules/auth/dtos/login/login.response.dto.ts,41,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/environments/environment.ts,7,HARDCODED_SECRET,Potential hardcoded secret in property: secretKey
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/environments/environment.prod.ts,3,HARDCODED_SECRET,Potential hardcoded secret in property: secretKey
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/app/core/model/mock-user-list.ts,4,HARDCODED_SECRET,Potential hardcoded secret in property: password
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/app/core/model/mock-user-list.ts,7,HARDCODED_SECRET,Potential hardcoded secret in property: password
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/app/core/model/mock-user-list.ts,10,HARDCODED_SECRET,Potential hardcoded secret in property: password
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/app/core/model/mock-user-list.ts,13,HARDCODED_SECRET,Potential hardcoded secret in property: password
Tr3sar/connecTFG-frontend,https://github.com/Tr3sar/connecTFG-frontend.git,src/app/core/model/mock-user-list.ts,16,HARDCODED_SECRET,Potential hardcoded secret in property: password
profRenatoOliveira1/biblioteca-backend-2semestre,https://github.com/profRenatoOliveira1/biblioteca-backend-2semestre.git,src/server.ts,8,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
jrinho-22/projeto-programacao-web,https://github.com/jrinho-22/projeto-programacao-web.git,app/app.ts,9,HARDCODED_SECRET,Potential hardcoded secret in property: password
jrinho-22/projeto-programacao-web,https://github.com/jrinho-22/projeto-programacao-web.git,app/helpers/const.ts,5,HARDCODED_SECRET,Potential hardcoded secret in property: password
venturiniduda/progweb_apiveterinaria,https://github.com/venturiniduda/progweb_apiveterinaria.git,src/swagger.ts,40,HARDCODED_SECRET,Potential hardcoded secret in property: password
venturiniduda/progweb_apiveterinaria,https://github.com/venturiniduda/progweb_apiveterinaria.git,src/swagger.ts,44,HARDCODED_SECRET,Potential hardcoded secret in property: password
venturiniduda/progweb_apiveterinaria,https://github.com/venturiniduda/progweb_apiveterinaria.git,src/swagger.ts,48,HARDCODED_SECRET,Potential hardcoded secret in property: token
venturiniduda/progweb_apiveterinaria,https://github.com/venturiniduda/progweb_apiveterinaria.git,src/swagger.ts,53,HARDCODED_SECRET,Potential hardcoded secret in property: password
venturiniduda/progweb_apiveterinaria,https://github.com/venturiniduda/progweb_apiveterinaria.git,src/data-source.ts,23,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
venturiniduda/progweb_apiveterinaria,https://github.com/venturiniduda/progweb_apiveterinaria.git,src/app.ts,23,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
JuniorSilGo/api-manutencao-publica,https://github.com/JuniorSilGo/api-manutencao-publica.git,src/funcionario/funcionario.controller.ts,52,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
JuniorSilGo/api-manutencao-publica,https://github.com/JuniorSilGo/api-manutencao-publica.git,src/funcionario/funcionario.controller.ts,59,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
JuniorSilGo/api-manutencao-publica,https://github.com/JuniorSilGo/api-manutencao-publica.git,src/funcao/funcao.controller.ts,38,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
JuniorSilGo/api-manutencao-publica,https://github.com/JuniorSilGo/api-manutencao-publica.git,src/funcao/funcao.controller.ts,45,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
JuniorSilGo/api-manutencao-publica,https://github.com/JuniorSilGo/api-manutencao-publica.git,src/database/sequelize.config.ts,14,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
GuiDev115/nest-api-article,https://github.com/GuiDev115/nest-api-article.git,src/main.ts,14,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
GuiDev115/nest-api-article,https://github.com/GuiDev115/nest-api-article.git,src/config/database.config.ts,17,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
DovCaio/principios_desenvolvimento_web,https://github.com/DovCaio/principios_desenvolvimento_web.git,src/app.ts,14,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
unb-mds/2025-2-GuiaDev,https://github.com/unb-mds/2025-2-GuiaDev.git,backend/backend-nest/src/main.ts,21,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
unb-mds/2025-2-GuiaDev,https://github.com/unb-mds/2025-2-GuiaDev.git,backend/backend-nest/src/modules/auth/auth.controller.ts,68,HARDCODED_SECRET,Potential hardcoded secret in property: access_token
tainamariott/ecommerce-backend,https://github.com/tainamariott/ecommerce-backend.git,src/app.module.ts,25,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
RobertaAccorsi/ecommerce-backend,https://github.com/RobertaAccorsi/ecommerce-backend.git,src/app.module.ts,25,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
libajunior/ecommerce-backend,https://github.com/libajunior/ecommerce-backend.git,src/app.module.ts,23,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
ron010-1/criancaFeliz-pw1,https://github.com/ron010-1/criancaFeliz-pw1.git,src/server.ts,15,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
disouzam/atividades-arq-aplicacoes-nodejs-puc-minas-2025,https://github.com/disouzam/atividades-arq-aplicacoes-nodejs-puc-minas-2025.git,apps/tasks/src/infrastructure/infrastructure.module.ts,17,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
disouzam/atividades-arq-aplicacoes-nodejs-puc-minas-2025,https://github.com/disouzam/atividades-arq-aplicacoes-nodejs-puc-minas-2025.git,apps/project-manager-api/src/infrastructure/auth/constants.ts,2,HARDCODED_SECRET,Potential hardcoded secret in property: secret
disouzam/atividades-arq-aplicacoes-nodejs-puc-minas-2025,https://github.com/disouzam/atividades-arq-aplicacoes-nodejs-puc-minas-2025.git,apps/project-manager-api/src/infrastructure/database/database.module.ts,16,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
enriconovellino/ProjDevWebBack,https://github.com/enriconovellino/ProjDevWebBack.git,server.ts,30,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
LudmilaASouza/projeto-labEddit-backend,https://github.com/LudmilaASouza/projeto-labEddit-backend.git,src/index.ts,12,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
len5ky/CursorRemote,https://github.com/len5ky/CursorRemote.git,src/server/relay.ts,241,HARDCODED_SECRET,Potential hardcoded secret in property: token
QuaLeiDer/qualeider-server,https://github.com/QuaLeiDer/qualeider-server.git,src/daily-collections/daily-collections.controller.ts,41,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
QuaLeiDer/qualeider-server,https://github.com/QuaLeiDer/qualeider-server.git,src/daily-collections/daily-collections.controller.ts,183,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
QuaLeiDer/qualeider-server,https://github.com/QuaLeiDer/qualeider-server.git,src/animals/animals.controller.ts,40,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
QuaLeiDer/qualeider-server,https://github.com/QuaLeiDer/qualeider-server.git,src/animals/animals.controller.ts,143,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
KhalidCEU/proyectoWeb2,https://github.com/KhalidCEU/proyectoWeb2.git,src/index.ts,15,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
ecirilo/ufsj-tecweb-20242-backend,https://github.com/ecirilo/ufsj-tecweb-20242-backend.git,src/main.ts,28,HARDCODED_SECRET,Potential hardcoded secret in property: secret
ecirilo/ufsj-tecweb-20242-backend,https://github.com/ecirilo/ufsj-tecweb-20242-backend.git,src/main.ts,38,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
