Nome,URL,Stars,Framework,Descricao
williamsanttos-dev/NovaPay,https://github.com/williamsanttos-dev/NovaPay.git,1,Backend Detectado (express),"MVP para uma apresentação de um projeto de faculdade sobre uma fintech que utiliza de blockchain para registrar as transações."
JhoelDiego2/Shadow-Slave-Projeto,https://github.com/JhoelDiego2/Shadow-Slave-Projeto.git,9,Backend Detectado (express),"Projeto individual em desenvolvimento no primeiro semestre da faculdade SPTech"
JucaLucas/Regionalizando,https://github.com/JucaLucas/Regionalizando.git,1,Backend Detectado (express),"Projeto da Faculdade de um dicionário de gírias"
PedroSales077/Trabalho-fim-de-semestre,https://github.com/PedroSales077/Trabalho-fim-de-semestre.git,1,Backend Detectado (express),"Trabalho do 1 semestre da faculdade"
Balokbk/Back-end-contabilidade,https://github.com/Balokbk/Back-end-contabilidade.git,1,Backend Detectado (express),"Projeto de Back-End que fiz para um trabalho da faculdade  consiste numa API que consiste na manipulação e validação de usuários e transações."
CatarinaGimenes/Pinguinando,https://github.com/CatarinaGimenes/Pinguinando.git,7,Backend Detectado (express),"Blog do Club Penguin. Meu projeto individual do primeiro semestre da faculdade SPTech"
Murilo10901/SiteRoupaAPI,https://github.com/Murilo10901/SiteRoupaAPI.git,1,Backend Detectado (express),"PROJETO QUE DESENVOLVI PARA FACULDADE  CRIANDO API  CRUD E FRONTEND COM NODE JS  HTML CSS  BANCO DE DADOS USEI O MONGODB"
ViictorM0ura/API-de-Dados-SQLite,https://github.com/ViictorM0ura/API-de-Dados-SQLite.git,1,Backend Detectado (express),"ótimo para você ter uma base do que quer fazer em trabalhos da faculdade por exemplo."
Jot4g3/pseudotwitter-server,https://github.com/Jot4g3/pseudotwitter-server.git,2,Backend Detectado (express),"Aprendendo React.js e Node.js fazendo um "tipo de twitter". Realizado na disciplina de Programação Web II."
Edu1059/Projeto_API_REST_ingressos,https://github.com/Edu1059/Projeto_API_REST_ingressos.git,1,Backend Detectado (express),"Projeto de um Sistema de vendas de ingressos  da disciplina Programação Web Back-End - UTFPR  campus Cornélio Procópio"
M4deN/APIRest-Cypress-Automation,https://github.com/M4deN/APIRest-Cypress-Automation.git,1,Backend Detectado (express),"Projeto de Automação de Testes de uma API-REST apresentada em Seminário na disciplina de programação Web 2 na UTFPR-CP 11/05/2023"
EricoBorgonove/esbam-of-webII-3p-N-2024.1--node,https://github.com/EricoBorgonove/esbam-of-webII-3p-N-2024.1--node.git,1,Backend Detectado (express),"Repositório Oficial da Turma do 3 Perido Noturno da Matéria Programação Web II - NODE -  Faculdade Esbam"
ClaytonRDSS/MedApp,https://github.com/ClaytonRDSS/MedApp.git,1,Backend Detectado (express),"Projeto da Disciplina de Programação II / Descomplica  "
marlonzl7/conecta-futsal,https://github.com/marlonzl7/conecta-futsal.git,1,Backend Detectado (express),"Projeto individual para disciplina de Pesquisa e Inovação na SPTech"
MarcosAlves90/aula_2_seg-19-02-26,https://github.com/MarcosAlves90/aula_2_seg-19-02-26.git,1,Backend Detectado (express),"Projeto prático para a disciplina de SDA: Implementação comparativa entre uma API segura e uma API insegura"
CaiaoCesar/Web2-Backend-Projeto-Final-Venda-Perfumes,https://github.com/CaiaoCesar/Web2-Backend-Projeto-Final-Venda-Perfumes.git,1,Backend Detectado (express),"Repositório para a atividade do Projeto de Trabalho Final da Disciplina de Web 2. "
AngeloGSeS/trabalho-final-web,https://github.com/AngeloGSeS/trabalho-final-web.git,1,Backend Detectado (express),"Trabalho final da disciplina de WEB"
GustaDev07/JogoDaVelha,https://github.com/GustaDev07/JogoDaVelha.git,1,Backend Detectado (express),"Projeto de um Jogo da Velha desenvolvido em HTML  CSS e JavaScript para a disciplina de Práticas de Programação  com orientação do professor Orion Telles  focado em praticar lógica  manipulação de DOM e verificação de jogadas."
YuriBrag/MoviePedia,https://github.com/YuriBrag/MoviePedia.git,1,Backend Detectado (express),"Wiki de filmes desenvolvido para a disciplina Proj. e Des. de Sist. para a Web."
